"gene","tau","log_fc_est","sd_est","Z_est","p_cross","ct_prop","expr","q_val","p","cell_type"
"NNAT",0,1.26846300159821,0.213187390976547,5.94999073719963,0.711126167516582,0.747792953367789,0.0014175122714969,6.63579137481297e-06,2.68157664183036e-09,"InCGE_LGE"
"WDR33",0,-0.674763355731891,0.114741594356328,-5.88072145517193,0.959239256330706,0.89595977353047,9.23093436707301e-05,6.63579137481297e-06,4.08482079089749e-09,"InCGE_LGE"
"MARCH6",0.053884008427477,-0.667309549704858,0.138986160701539,-4.80126615726762,0.49441936964011,1,0.000215446406921572,0.00170751787665794,1.57665547244501e-06,"InCGE_LGE"
"DHRS7",0,-1.24341960842975,0.224939925383665,-5.52778528004281,0.598349355686963,0.615689505507218,0.000130461720152718,0.000110229099771493,3.24298616568086e-08,"InMGE_LGE"
"HMGN1",0.258006339853612,1.10676228502049,0.2668394640498,4.14767091877362,0.00619229963879314,0.730446919255252,0.000572377572168884,0.0165446460115676,3.3587470780611e-05,"InMGE_LGE"
"SCML2",0,-1.09487950044905,0.223717434174254,-4.8940285073905,0.756968811253088,1,6.72863569095632e-05,0.00111931923973807,9.87925189530509e-07,"InMGE_LGE"
"RNF111",0,-0.858649293977599,0.221116209002823,-3.88324898409704,0.679969416166087,0.92396082207598,4.76570180755138e-05,0.0350334690000289,0.000103069929391082,"InMGE_LGE"
"SMDT1",0.130934702955121,-0.732488566193627,0.176861427817932,-4.14159591060002,0.350526066522761,1,0.000157858537355307,0.0165446460115676,3.44897593099827e-05,"InMGE_LGE"
"PAGR1",0,0.727970418996569,0.203114007819812,3.58404832246909,0.438053421658864,0.52524537202605,3.80476315547889e-06,0.0864522908074112,0.000338309453607042,"InMGE_LGE"
"PPP4R3A",0,-0.713104923266702,0.143680855487151,-4.96311718669069,0.76129615278954,0.883442077760694,0.000145187203942813,0.00111931923973807,6.93706971582438e-07,"InMGE_LGE"
"MTURN",0.00104495170864481,-0.656286150391265,0.159537463407022,-4.11368048843115,0.095516307809305,0.78730932232316,8.1955000013642e-05,0.0165446460115676,3.89400318012772e-05,"InMGE_LGE"
"PRDX5",8.52757579736959e-06,-0.639319029285728,0.181208746126876,-3.52808042078775,0.132004572724739,0.517736393649124,0.000122737556231926,0.0948513528438214,0.000418584964006273,"InMGE_LGE"
"UBB",0.0586406502439954,-0.630138791216205,0.143535712059014,-4.39011854385846,0.432155525459336,0.60310025899135,0.00114486062909644,0.00962672295281223,1.13288884410853e-05,"InMGE_LGE"
"LUC7L3",0.155785462724825,-0.549375046051437,0.138650521309277,-3.96230061642529,0.00180424545369775,1,0.00154530909497553,0.0280345712250573,7.423099176979e-05,"InMGE_LGE"
"ATF2",0.0908797661304292,-0.549367218493897,0.151957720489172,-3.61526361888959,0.41298413619054,1,8.14283204427289e-05,0.0849869370530997,0.000300042143170696,"InMGE_LGE"
"CLK1",0.0892372928766326,-0.546630718353233,0.128328416767792,-4.25962333301714,0.30639066341546,0.765221631984115,0.000219389213064144,0.0139203792049946,2.04771685863409e-05,"InMGE_LGE"
"DPYSL4",0.0965837924891959,0.490024575658179,0.137236467845717,3.57065861101199,0.272518716033414,0.695033600095173,4.85573353317883e-05,0.0864522908074112,0.000356084751781041,"InMGE_LGE"
"RGMA",0.00134788373444597,1.42526265609324,0.305080335131984,4.67176180161413,0.335141313751053,0.948487540781626,2.99380056046312e-05,0.00871394037903349,2.98627154867494e-06,"vRG_LGE"
"RAI14",0.0531345782886421,0.679477688211729,0.165222838639073,4.11249252106145,0.440702902699091,0.86001213464735,0.000300270798311732,0.0380711610359924,3.91410154585254e-05,"vRG_LGE"
"CREB5",0.00157279294323444,-0.644215515143364,0.151673655261393,-4.24737911164023,0.204387243830294,1,0.000438460786971111,0.0315560981608087,2.16285799594302e-05,"vRG_LGE"
"ARHGEF7",0,2.36839999385815,0.544386183619602,4.35058799272008,0.727047719855539,1,0.000168191016691355,0.0255660476203468,1.35772956029457e-05,"End_MGE"
"NDUFV3",0.0491326487267372,1.18116042696557,0.306010057241368,3.85987453358082,0.755214488600225,0.627023993990543,7.62772490368616e-05,0.0991795164604326,0.000113445257604155,"InMGE_MGE"
"MTURN",0.0638645480669957,0.792457860791983,0.190874659722712,4.15171852535692,0.708178133786217,0.78730932232316,8.1955000013642e-05,0.0450174756449899,3.29987965900294e-05,"InMGE_MGE"
"CCNI",0.0626825138094307,0.403915298195827,0.098142813455947,4.11558711201133,0.376535194992842,1,0.000859008725135852,0.0450174756449899,3.86195101329624e-05,"InMGE_MGE"
"NCBP1",0.00102098033339523,-2.33165363884935,0.535418499153033,-4.35482457654665,0.354579559377415,0.606457259098896,3.23110875250007e-05,0.0425622576784447,1.33173522147825e-05,"oRG_MGE"
"TPRKB",0.000375126434167411,-1.63464051802019,0.405813227133457,-4.02806120827259,0.209152823107462,0.557241865814906,8.25230788337661e-05,0.0682678626000439,5.62387040734833e-05,"vRG_MGE"
"NFATC4",0.00242769500802674,-1.61333492778045,0.430824401911691,-3.74476218297204,0.0914192600573391,0.500822803736556,3.6543463106515e-05,0.0970535425888037,0.000180564730397774,"vRG_MGE"
"MEX3C",0,-1.55053259332375,0.41166016777591,-3.76653539666192,0.0770350017956411,0.588032003557816,1.26245278341158e-05,0.0970535425888037,0.000165528624985916,"vRG_MGE"
