"gene","log_fc_est","sd_est","cell_type"
"SOGA1",1.7276893098728,0.431259612539904,"ExM-U_5"
"RAB2B",-1.84372608084298,0.50259528356318,"ExN_0"
"TERF2IP",-1.58861363443345,0.339733324909799,"ExN_0"
"DCUN1D4",-1.48115394988347,0.301227912075746,"ExN_0"
"MAPK6",-1.40004739237027,0.376220567192775,"ExN_0"
"EIF2S1",-1.00049429763219,0.263293038299168,"ExN_0"
"BZW2",-0.925512277214892,0.210081956716498,"ExN_0"
"WDR33",-1.10334551860537,0.201127004132526,"ExN_1"
"DPY19L1",1.24017230843855,0.23413705444959,"ExN_2"
"TUBB",0.864616083695211,0.203554707182906,"ExN_2"
"MCUR1",-0.717317796498188,0.18369378087544,"ExN_2"
"SUMO2",-0.628913294233096,0.183719729651327,"ExN_2"
"DDX5",1.02283700923891,0.246550918831946,"ExN_3"
"PBX3",1.42826402130039,0.310185536261859,"ExN_6"
"TOMM7",-2.70999029772238,0.787587405297952,"ExN_7"
"EEF2",-2.67572832080962,0.541244942017942,"ExN_7"
"YBX1",-2.46163881389248,0.432463305185725,"ExN_7"
"WDR17",-1.29278081959511,0.320339893272252,"ExN_7"
"IPO9",2.85379079241751,0.468385530630899,"InCGE_1"
"SARS",3.77311128853463,0.918454031798439,"InCGE_2"
"DCLK2",3.6185449636198,0.361202759139327,"InCGE_2"
"EPHA4",3.32076249009488,0.773192390794089,"InCGE_2"
"RANBP3",3.21431933712637,0.505567214505768,"InCGE_2"
"CXCR4",3.10573485775091,0.817625108061409,"InCGE_2"
"PPP2R2A",2.69780321322147,0.489697438546285,"InCGE_2"
"NR2F1",2.54008858955956,0.662961978631615,"InCGE_2"
"MEIS1",2.15527119673679,0.487419433399688,"InCGE_2"
"RDX",2.04183236578232,0.600269209728799,"InCGE_2"
"MORC3",1.61063931007449,0.409950501771395,"InCGE_2"
"NR2F2",1.24420954037076,0.336853138204876,"InCGE_2"
"YWHAZ",1.02622310800243,0.260688662344515,"InCGE_2"
"TIPRL",3.55719767099545,1.03055893843089,"InCGE_4"
"BTG1",1.4956277967238,0.363359304953718,"InCGE_4"
"DLX5",1.22319608900565,0.325011466404284,"InCGE_4"
"FTL",-1.00648551021312,0.219182783042871,"InMGE_0"
"NEDD4L",0.825977868447393,0.217327068141594,"InMGE_0"
"ASAP2",-1.31685554448175,0.320975388542871,"InMGE_6"
"STRIP2",-0.415775109454412,0.0329953888664371,"InMGE_6"
"GAREM2",-1.33620156634051,0.359175815126627,"InMGE_7"
"PTPRA",-1.24833881290134,0.222504576381165,"InMGE_7"
"SMARCA5",-2.9010748849131,0.491226452290271,"IP_0"
"EOMES",-1.01159464046826,0.260764803106335,"IP_0"
"RSF1",2.01657303821071,0.51149560383956,"IP_1"
"MT-ND6",1.11621490907593,0.2353424077758,"OPC_0"
"SPIRE1",3.57992889184746,0.41411290553273,"oRG_0"
"NUP93",3.41419158188342,0.636835769509661,"oRG_0"
"TMEM132B",2.32952952834114,0.331317097697563,"oRG_0"
"WDR41",2.10868567423181,0.526309499421834,"oRG_0"
"ELOVL2",2.0611497178022,0.387973613641039,"oRG_0"
"LGALSL",2.14191582926529,0.482796536482871,"oRG_1"
"FN1",0.756177044715363,0.182728591789167,"Per_2"
"PPP1R17",-1.42901861519644,0.37897685018772,"PgG2M_2"
"NES",1.26016833584351,0.26288592735577,"PgS_4"
"MYH10",0.647455455421677,0.141872131754841,"vRG_2"
"AKAP12",0.589283539718554,0.147791037040039,"vRG_2"
"JOSD1",2.92592380183419,0.546180198323495,"vRG_3"
"CNOT9",2.40167761558702,0.410847511593134,"vRG_3"
"VIM",0.462707135199374,0.117826083860496,"vRG_3"
