"gene","tau","log_fc_est","sd_est","Z_est","p_cross","ct_prop","expr","q_val","p","cell_type"
"SLC16A1",0,1.22368484011036,0.291978783779837,4.19100601855052,0.600565030523541,1,0.000646496899912935,0.00357173048853483,2.77720292171774e-05,"End_1_LGE"
"FLT1",0.00148798043744866,1.18229791933989,0.287534160759692,4.11185201861284,0.303547812372787,1,0.00125481682453555,0.00357173048853483,3.92497855882949e-05,"End_1_LGE"
"C9orf78",0,3.98752972633576,1.05713910404128,3.77200097044186,0.66039565618576,1,0.000695922146522146,0.024291543920304,0.00016194362613536,"End_2_LGE"
"CENPX",0,2.92510870799465,0.89177495658139,3.28009739049863,0.486618182029995,0.529820049398809,0.000139204241807737,0.0778284434957276,0.00103771257994303,"End_2_LGE"
"SPP1",0,1.43914679671073,0.455470177575718,3.15969489895193,0.869945677795087,1,0.000228307170957915,0.078967214638895,0.0015793442927779,"End_2_LGE"
"BEX3",0,4.41185727455494,1.34843763957065,3.27182892637118,0.36636813906916,0.675705505361791,0.000988880600533119,0.0459473108865728,0.00106854211364123,"ExDp1_2_LGE"
"CALM3",0,4.36982112764342,0.70179947572896,6.22659503001834,0.422577674649893,0.750255450816472,0.000397194055642695,6.14918669340358e-08,4.76681139023533e-10,"ExDp1_2_LGE"
"ITPK1",0,3.54592922875105,0.921255803428249,3.84901697829817,0.454831077242828,0.510210379181001,2.2145051742955e-05,0.0076492348452416,0.000118592788298319,"ExDp1_2_LGE"
"CEP170",0,-2.57759492178361,0.832378659775401,-3.09666146712497,0.916521755953148,0.660993556342785,0.000790831664980706,0.0631175204393867,0.00195713241672517,"ExDp1_2_LGE"
"SELENOW",0,-3.02797450901723,1.04798910132875,-2.88931870109914,0.73925357499415,0.631911342614947,0.00036524665619262,0.00386077563896045,0.00386077563896045,"ExM-U_2_LGE"
"NRDC",0,4.19349084790343,0.989649417298968,4.23734988835607,0.819486797515494,0.622564031482048,0.000218569784577922,0.0111051205680742,2.26173534991329e-05,"InCGE_0_LGE"
"RPUSD4",0,3.44928141358833,0.684833800853855,5.03666934851601,0.907724455920809,0.630612562370168,3.39872495655071e-05,0.000370434980042495,4.737020205147e-07,"InCGE_2_LGE"
"SOX4",0,1.75997916346714,0.399454195739605,4.40595988786267,0.80423553445902,0.594000629388792,0.00454135746515569,0.00411787329757232,1.05316452623333e-05,"InCGE_2_LGE"
"STK39",0.00104091504721242,0.592367309644949,0.156374961145567,3.78812122673221,0.348659067222397,0.550915836082793,9.17683477638168e-05,0.0395667982025723,0.000151790785943372,"InCGE_2_LGE"
"PSMC4",0,1.33541299530042,0.287924978266096,4.63805885596439,0.395764473819285,0.510860119136484,5.6854613778335e-05,0.00259552125191841,3.5169664660141e-06,"InMGE_0_LGE"
"PLS3",0,-0.972219638587708,0.245281460593244,-3.96368986158299,0.569070687363551,0.761626478829662,0.000526678275397165,0.0272322435207546,7.38001179424243e-05,"InMGE_0_LGE"
"GRIA4",0,1.53601925220317,0.335001456272874,4.58511216426479,0.54977021184859,0.742919425853187,0.000258083637519347,0.00306730123909065,4.5374278684773e-06,"InMGE_3_LGE"
"NNAT",0,-0.869308600206654,0.260912106421765,-3.33180630108982,0.534773624833957,0.894575010843802,0.00328281344134984,0.0560847879926829,0.000862842892195122,"InMGE_6_LGE"
