"gene","log_fc_est","sd_est","cell_type"
"MTURN",-2.93467968869157,0.854114048332154,"Erythrocyte_25"
"GLRX5",-1.11367428301128,0.408987656195594,"Erythrocyte_25"
"TALDO1",-1.09770139032508,0.377489987973165,"Erythrocyte_25"
"RAD23A",-1.00919745681902,0.344783544285235,"Erythrocyte_25"
"GUK1",-0.588101953550771,0.17746063740604,"Erythrocyte_25"
"SUDS3",-6.18685280410498,1.61002057401586,"Fibroblast_21"
"CENPX",-5.53062324024193,0.866529130855664,"Fibroblast_21"
"ARFGAP2",-5.31859144552187,0.620271259616097,"Fibroblast_21"
"INO80D",-5.29428495926308,1.66819524763261,"Fibroblast_21"
"CEBPZ",-5.27048881229018,0.52108018182312,"Fibroblast_21"
"CCT4",-5.25380477500904,0.868340337839334,"Fibroblast_21"
"PCID2",-5.1237052964785,0.614599598350308,"Fibroblast_21"
"AMBRA1",-5.01287489435129,0.836189244653666,"Fibroblast_21"
"ZDHHC16",-4.9991230464481,0.670600899330018,"Fibroblast_21"
"GID8",-4.95595326954062,0.816172095519203,"Fibroblast_21"
"PSME4",-4.95504882033562,0.63048039263108,"Fibroblast_21"
"VAPA",-4.88049767092397,0.919271816883311,"Fibroblast_21"
"SNRPE",-4.88011023973954,1.25638330879967,"Fibroblast_21"
"SPPL3",-4.84512134819599,0.847713243672129,"Fibroblast_21"
"CHIC2",-4.83878196911009,1.360632451273,"Fibroblast_21"
"NINL",-4.71150283395629,1.58507402472913,"Fibroblast_21"
"KIAA2026",-4.69612588392132,0.909675245890629,"Fibroblast_21"
"BBS7",-4.68944957576212,1.22529651206055,"Fibroblast_21"
"TAF6",-4.65080314380041,0.949002731181351,"Fibroblast_21"
"PDCL",-4.64292771820615,0.932489895291216,"Fibroblast_21"
"GPR107",-4.58546162028065,0.943082608565507,"Fibroblast_21"
"ZNF236",-4.585050130643,0.685432936606256,"Fibroblast_21"
"ENSA",-4.53863919326252,1.13540666924574,"Fibroblast_21"
"MED13",-4.46506410150462,1.64498821007924,"Fibroblast_21"
"WDR48",-4.42856226339977,1.12024892457238,"Fibroblast_21"
"PIGF",-4.41682742381106,1.29035806565975,"Fibroblast_21"
"AKIP1",-4.40146708874028,1.28478368380769,"Fibroblast_21"
"TRIM33",-4.40003317997138,0.923918056687219,"Fibroblast_21"
"C16orf58",-4.37133317020952,0.84006527744969,"Fibroblast_21"
"GALK2",-4.32689224405595,1.21532640057876,"Fibroblast_21"
"PI4KB",-4.1452505852772,1.30184417256905,"Fibroblast_21"
"KDM5B",-4.13678127576045,1.46413188086257,"Fibroblast_21"
"PQBP1",-4.13664031812181,1.09617117279195,"Fibroblast_21"
"HSPD1",-4.11712757457146,1.47876050959824,"Fibroblast_21"
"EI24",-4.11429496671768,0.901136269659397,"Fibroblast_21"
"ROMO1",-4.10458440746779,0.85803815207996,"Fibroblast_21"
"NOA1",-4.08249542896139,1.28313383430168,"Fibroblast_21"
"CHMP3",-4.03379750898845,0.966136719113617,"Fibroblast_21"
"EXOC7",-3.97192735819327,0.646568086322401,"Fibroblast_21"
"MLX",-3.9600794395379,1.17026827963112,"Fibroblast_21"
"SART1",-3.91056655997757,0.93976721147979,"Fibroblast_21"
"ATXN3",-3.90367306670876,0.796144760035238,"Fibroblast_21"
"ARID2",-3.88470189929412,1.47198227172368,"Fibroblast_21"
"ARID4B",-3.87458928606159,0.664316247622218,"Fibroblast_21"
"PHF6",-3.86625622859938,0.837554376826668,"Fibroblast_21"
"IFT20",-3.86420393720552,0.754317676824923,"Fibroblast_21"
"UBE2Z",-3.85136779264054,0.475084294700526,"Fibroblast_21"
"TOMM7",-3.84435342250357,0.814530570412034,"Fibroblast_21"
"STAT2",-3.8227435878179,0.999234440244159,"Fibroblast_21"
"CUL2",-3.8187078441078,1.17957264088128,"Fibroblast_21"
"RNF4",-3.77204929566246,0.984691903604965,"Fibroblast_21"
"MSANTD2",-3.74351073338847,0.604670410319543,"Fibroblast_21"
"NKIRAS1",-3.73686583531595,1.36968311414819,"Fibroblast_21"
"FAM20B",-3.73267806570356,0.843551575110192,"Fibroblast_21"
"ABCB7",-3.72992401458501,0.70394839539033,"Fibroblast_21"
"ZBTB5",-3.71929933795106,1.20943354740473,"Fibroblast_21"
"KRAS",-3.70236132502525,1.14199213772646,"Fibroblast_21"
"PEX3",-3.69814590300674,0.829656648475642,"Fibroblast_21"
"SPIN1",-3.68921632545694,0.824831723478183,"Fibroblast_21"
"CCNYL1",-3.68693774239982,0.825478248149853,"Fibroblast_21"
"EIF1",-3.67426022206985,0.577703247469302,"Fibroblast_21"
"TOM1L2",-3.67213748965696,1.3119175418568,"Fibroblast_21"
"SLC25A16",-3.66981826946537,0.7827046026103,"Fibroblast_21"
"IGSF8",-3.6575509639339,0.970924809956081,"Fibroblast_21"
"EIF3D",-3.64203076433293,0.637282310636441,"Fibroblast_21"
"POLR1D",-3.62745487310885,0.954465950746467,"Fibroblast_21"
"TOP1",-3.60876798992968,0.475516401570544,"Fibroblast_21"
"PRDX5",-3.60561245972879,1.03803712004625,"Fibroblast_21"
"MED25",-3.60373623805743,0.507051894560465,"Fibroblast_21"
"SOS2",-3.59559492498343,1.08005767545824,"Fibroblast_21"
"COMMD1",-3.59307366079958,1.1296880558447,"Fibroblast_21"
"EHMT2",-3.57651146266325,0.993767585153893,"Fibroblast_21"
"CD276",-3.55293223745695,0.8833688387172,"Fibroblast_21"
"ZNF407",-3.54873546902704,0.6897405338245,"Fibroblast_21"
