"cell_type","gene","avg_logFC","logCPM","F","p_val","p_val_adj"
"IZ","ENSG00000087586",2.07517565035324,6.79990366841116,42.008842753552,9.14441744515394e-11,1.65184756729261e-06
"IZ","ENSG00000094796",1.26550952727297,4.62093684101118,16.7071312957543,4.36638183044701e-05,0.0394371606925974
"IZ","ENSG00000104899",-1.82489433389264,4.48641136887885,35.3672871192581,2.74284526456169e-09,2.47733784295212e-05
"IZ","ENSG00000108691",1.44656279802306,6.6761428226347,17.7746478733976,2.48976786200247e-05,0.0266156459884968
"IZ","ENSG00000118271",-1.93391888673174,4.33227589806652,17.3510583248345,3.11085583589392e-05,0.0295760525366251
"IZ","ENSG00000120738",1.27891441918319,5.08334718620114,18.5274233558075,1.67697293089331e-05,0.0238145371305119
"IZ","ENSG00000122824",1.25180207531709,4.37144610924646,16.2550455605812,5.54186996397615e-05,0.0435253647953327
"IZ","ENSG00000124216",1.65790084569831,6.57444341945885,22.5038862975465,2.10118769291651e-06,0.00759117089696877
"IZ","ENSG00000130518",-1.61002497118929,3.5919451497523,19.0534725201903,1.27282468736046e-05,0.020902095593163
"IZ","ENSG00000132170",1.6388986983158,6.85582086280815,21.5745367325923,3.40938921323399e-06,0.00945942860640699
"IZ","ENSG00000134184",7.62668578805772,1.70946234202884,31.4476035804215,2.05641593538555e-08,0.000123823658189348
"IZ","ENSG00000160233",-1.17317040420714,5.5049224211329,17.8701702949687,2.36789313331358e-05,0.0266156459884968
"IZ","ENSG00000162461",-2.07719391979975,2.53309145310648,16.2960069599909,5.42337827770084e-05,0.0435253647953327
"IZ","ENSG00000164867",1.83716867693912,6.50990476073796,28.6155171366699,8.85396404890165e-08,0.000399845016448399
"IZ","ENSG00000173660",1.32676733678504,6.58605526869029,20.9189153918843,4.79934000240064e-06,0.0098815182639344
"IZ","ENSG00000196262",1.27845607128451,7.97771103707222,17.7631975104073,2.50479396481646e-05,0.0266156459884968
"IZ","ENSG00000197381",-1.17108792030488,5.18523898557553,17.5911858839403,2.74180735705387e-05,0.0275155600543451
"IZ","ENSG00000198642",1.28270378256594,5.28758960223157,20.2320801058603,6.86996126514655e-06,0.0124098980293607
"IZ","ENSG00000198963",1.21983095885391,5.07827049487484,18.1915557280506,2.00016092684218e-05,0.0258077907017693
"IZ","ENSG00000204389",1.3525447732957,6.72214155040382,20.8700720696283,4.92325422804526e-06,0.0098815182639344
"IZ","ENSG00000213199",-1.37008749382381,3.72677151377976,16.2693064629295,5.50032397642901e-05,0.0435253647953327
"IZ","ENSG00000244734",1.38430967227372,6.04519720836526,21.4355262982909,3.6656333173632e-06,0.00945942860640699
"IZ","ENSG00000276410",1.27855596953924,5.02682831298818,18.4859600257567,1.71384512121709e-05,0.0238145371305119
"MGE","ENSG00000006128",1.60952702936898,5.33624855095898,17.7902304474267,2.47046557382418e-05,0.0178486196777649
"MGE","ENSG00000066248",1.49880637110647,4.70692881836852,15.9892968172682,6.37859891753367e-05,0.0360032042651541
"MGE","ENSG00000075426",1.69005048634445,4.27917443113599,16.9211586008569,3.90222988131939e-05,0.0261044726357003
"MGE","ENSG00000101327",2.46625607129338,5.63750416308554,48.2619358144621,3.77114447916388e-12,2.82537451982195e-08
"MGE","ENSG00000105520",1.43901303945534,5.93735492864693,18.4422899611636,1.75432192693712e-05,0.0132027344351409
"MGE","ENSG00000108691",-2.75512376467689,6.27362742021259,50.5537556802417,1.17373716386643e-12,2.12000406537555e-08
"MGE","ENSG00000110675",1.82299657293668,4.42231920071241,21.1178262186695,4.32863921831417e-06,0.00553998040354683
"MGE","ENSG00000118473",1.49891372836819,4.72356066277007,16.2685184319789,5.50449394194008e-05,0.0331407231931072
"MGE","ENSG00000118785",1.45796478680787,6.4887332258787,20.8509683523891,4.97531804024278e-06,0.00553998040354683
"MGE","ENSG00000120251",1.53497490932715,5.93049374798037,20.6516107500422,5.520963750628e-06,0.00553998040354683
"MGE","ENSG00000124772",1.57107241738498,4.71016205474288,16.3904474058513,5.16159071607415e-05,0.0321478108668039
"MGE","ENSG00000125851",1.57401274992999,4.38556289038354,15.512329987785,8.20713743123446e-05,0.0435992106714579
"MGE","ENSG00000125869",2.02404001059231,3.90936670393593,17.0910852501941,3.56827103940101e-05,0.0247885044283312
"MGE","ENSG00000132872",1.64543305686376,5.597707867301,21.3865122367728,3.76268619930311e-06,0.00553998040354683
"MGE","ENSG00000134184",8.96306617056899,2.9081876904301,36.4067672469534,1.6118162876762e-09,7.27815644700189e-06
"MGE","ENSG00000135439",1.50276501951488,5.9457901014778,20.0569041647964,7.53249584460948e-06,0.00680259699726682
"MGE","ENSG00000141404",1.39576759545159,5.23753425828506,15.1405648919575,9.99150200985613e-05,0.0462734639235952
"MGE","ENSG00000143171",1.74012508051578,5.51605302460079,24.0029712473049,9.64641231382024e-07,0.00193592776902468
"MGE","ENSG00000148123",1.44455992240776,4.84266957078025,15.2769958368577,9.29531192870657e-05,0.0455808001341487
"MGE","ENSG00000155849",1.29772987220846,5.91016078305745,15.2569907808011,9.39425683493789e-05,0.0455808001341487
"MGE","ENSG00000158578",1.94219933774835,4.82771741312249,19.2177123722112,1.16845430475168e-05,0.00917592245757605
"MGE","ENSG00000163630",1.47776058249056,4.8742760319246,15.2728671571909,9.31564611019263e-05,0.0455808001341487
"MGE","ENSG00000164076",1.76213395050616,5.71775158652563,25.8099289540224,3.77993400112245e-07,0.000853414599103422
"MGE","ENSG00000164116",2.28579728116549,5.1176084591424,35.119115859436,3.12010276115251e-09,1.12710592143873e-05
